title,movie index
'Til There Was You (1997),0
101 Dalmatians (1996),1
12 Angry Men (1957),2
187 (One Eight Seven) (1997),3
2 Days in the Valley (1996),4
"20,000 Leagues Under the Sea (1954)",5
2001: A Space Odyssey (1968),6
3 Ninjas: High Noon On Mega Mountain (1998),7
"39 Steps, The (1935)",8
8 1/2 (8½) (1963),9
8 Heads in a Duffel Bag (1997),10
8 Seconds (1994),11
Above the Rim (1994),12
Absolute Power (1997),13
"Abyss, The (1989)",14
Ace Ventura: Pet Detective (1994),15
Ace Ventura: When Nature Calls (1995),16
Addams Family Values (1993),17
Addicted to Love (1997),18
"Addiction, The (1995)",19
"Adventures of Pinocchio, The (1996)",20
"Adventures of Priscilla, Queen of the Desert, The (1994)",21
"Adventures of Robin Hood, The (1938)",22
"Affair to Remember, An (1957)",23
"African Queen, The (1951)",24
Afterglow (1997),25
"Age of Innocence, The (1993)",26
Air Bud (1997),27
Air Force One (1997),28
"Air Up There, The (1994)",29
Airheads (1994),30
Akira (1988),31
Aladdin (1992),32
Aladdin and the King of Thieves (1996),33
Alaska (1996),34
Albino Alligator (1996),35
Alice in Wonderland (1951),36
Alien (1979),37
Alien: Resurrection (1997),38
Aliens (1986),39
Alien³ (a.k.a. Alien 3) (1992),40
All About Eve (1950),41
All Dogs Go to Heaven 2 (1996),42
All Quiet on the Western Front (1930),43
All the King's Men (1949),44
Almost Heroes (1998),45
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",46
Amadeus (1984),47
Amateur (1994),48
"Amazing Panda Adventure, The (1995)",49
American Buffalo (1996),50
"American President, The (1995)",51
"American Werewolf in London, An (1981)",52
"American in Paris, An (1951)",53
Amistad (1997),54
Amityville 1992: It's About Time (1992),55
Amityville 3-D (1983),56
"Amityville Curse, The (1990)",57
"Amityville Horror, The (1979)",58
Amityville II: The Possession (1982),59
Amityville: A New Generation (1993),60
Amityville: Dollhouse (1996),61
Amos & Andrew (1993),62
Anaconda (1997),63
Anastasia (1997),64
Andre (1994),65
Angel Baby (1995),66
Angels and Insects (1995),67
Angels in the Outfield (1994),68
Angus (1995),69
Anna Karenina (1997),70
Anne Frank Remembered (1995),71
Annie Hall (1977),72
Another Stakeout (1993),73
Antonia's Line (Antonia) (1995),74
"Apartment, The (1960)",75
Apocalypse Now (1979),76
Apollo 13 (1995),77
"Apostle, The (1997)",78
"Apple Dumpling Gang, The (1975)",79
April Fool's Day (1986),80
"Aristocats, The (1970)",81
Armageddon (1998),82
Army of Darkness (1993),83
Around the World in 80 Days (1956),84
"Arrival, The (1996)",85
Arsenic and Old Lace (1944),86
Artemisia (1997),87
As Good as It Gets (1997),88
Ashes of Time (Dung che sai duk) (1994),89
Assassins (1995),90
"Assignment, The (1997)",91
Austin Powers: International Man of Mystery (1997),92
B*A*P*S (1997),93
B. Monkey (1998),94
Babe (1995),95
"Baby-Sitters Club, The (1995)",96
"Babysitter, The (1995)",97
Back to the Future (1985),98
Backbeat (1993),99
Bad Boys (1995),100
Bad Company (1995),101
Bad Girls (1994),102
Bad Taste (1987),103
Balto (1995),104
Bananas (1971),105
"Band Wagon, The (1953)",106
Barb Wire (1996),107
Barbarella (1968),108
Barcelona (1994),109
Barney's Great Adventure (1998),110
Basic Instinct (1992),111
"Basketball Diaries, The (1995)",112
Basquiat (1996),113
Bastard Out of Carolina (1996),114
Batman & Robin (1997),115
Batman (1989),116
Batman Forever (1995),117
Batman Returns (1992),118
Bean (1997),119
Beat the Devil (1953),120
"Beautician and the Beast, The (1997)",121
Beautiful Girls (1996),122
Beautiful Thing (1996),123
Beauty and the Beast (1991),124
Beauty of the Day (Belle de jour) (1967),125
Beavis and Butt-Head Do America (1996),126
Bed of Roses (1996),127
Bedknobs and Broomsticks (1971),128
Before Sunrise (1995),129
Before and After (1996),130
Before the Rain (Pred dozhdot) (1994),131
Being Human (1993),132
Being There (1979),133
"Believers, The (1987)",134
Ben-Hur (1959),135
Benny & Joon (1993),136
Bent (1997),137
Best Men (1997),138
"Best Years of Our Lives, The (1946)",139
Best of the Best 3: No Turning Back (1995),140
Better Off Dead... (1985),141
"Beverly Hillbillies, The (1993)",142
Beverly Hills Cop III (1994),143
Beverly Hills Ninja (1997),144
Beyond Rangoon (1995),145
Beyond Silence (Jenseits der Stille) (1996),146
Bhaji on the Beach (1993),147
